Reward,Diff baseline
16,-213.1117575651324
14,254.06866773559295
48,464.0900340722259
16,227.30687955096334
28,375.89953759566356
38,472.8626071416754
14,285.8702667179829
-1,-157.89252043357783
10,77.80070945658576
28,130.22037554733834
18,298.5588603827688
52,459.79491733601253
5,-153.93966998349174
26,179.3331474896096
30,119.70806078896885
16,194.2620707399641
-5,-106.871715311255
28,344.7292921247066
10,-451.6324709206524
12,270.02202611322934
26,-8.362213323142896
-5,-251.5671058235464
28,46.46871123425535
16,-253.46559895142627
11,-75.29343541609455
4,-590.6290004047798
10,77.80070945658576
28,334.72366425397274
7,36.788444314005574
10,-363.1372486796283
